time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.87866457919e-06,-1.55805985913e-07,10.0699027197,6.28313224368,0.000816187608114,0.0,-0.000375954845363,-1.63769767046e-05,2.32845221092,-0.00271488437926,0.0321808515776,0.0,898.904832344,900.207609835,899.901332598,899.791469394
0.12000000000000001,-0.000129169433093,-8.7469854298e-06,10.2789707152,6.28277870172,0.00263611890996,0.0,-0.00456320610548,-0.000375942123575,4.63418596478,-0.0131567081193,0.0263521464228,0.0,900.701469195,900.465520238,900.299323175,899.876896849
0.18,-0.000652788579947,-7.87879069025e-05,10.6248459072,6.28170395539,0.00400167005803,0.0,-0.0134819603381,-0.00233351782094,6.88433010615,-0.0297063401783,0.0143788496347,0.0,901.012870882,900.528436064,900.788989637,900.119740723
0.23999999999999996,-0.00180708691258,-0.000368758043962,11.1032777997,6.27950871794,0.00448765195574,0.0,-0.0252268561637,-0.00808866808339,9.04891228012,-0.056191765569,-0.00902469953548,0.0,900.911613961,899.964670816,901.191391609,900.120203675
0.3,-0.00367125521026,-0.00119714225164,11.7084092208,6.27580682365,0.00354738550957,0.0,-0.0365676212652,-0.0208117418963,11.1045064763,-0.0759638499393,-0.034279014791,0.0,901.257138839,900.235926275,900.665724723,899.864920406
0.36000000000000004,-0.00610723221448,-0.0030711692793,12.4331223459,6.27100552827,0.00103264494182,0.0,-0.0437528293311,-0.0432177584978,13.0326113882,-0.0897057300956,-0.0650804475104,0.0,901.409712988,900.163831216,900.44766891,899.889842266
0.4200000000000001,-0.00875533411464,-0.00661057901473,13.2692871101,6.26521955064,6.28003678759,0.0,-0.0431103785473,-0.0764097799994,14.8180407055,-0.115359864367,-0.0810060564859,0.0,900.514083661,899.868438898,900.590853285,899.549390324
0.48000000000000015,-0.0110700293056,-0.0124946233207,14.2081956382,6.25801981809,6.27489415141,0.0,-0.032513330148,-0.121604477457,16.4566166899,-0.131401796545,-0.0973352331472,0.0,900.520634603,899.857629756,900.793261952,900.139048518
0.5400000000000001,-0.0124332839985,-0.0214700102037,15.2408919815,6.24989900343,6.26868650814,0.0,-0.0113251118679,-0.179427639935,17.944228583,-0.144702130468,-0.11996951721,0.0,900.785513583,899.865896343,900.615989938,900.07087395
0.6000000000000002,-0.0121918051804,-0.034282363949,16.3583387653,6.24096091663,6.26117002067,0.0,0.0210830766936,-0.249398869705,19.2821517477,-0.159253366421,-0.138841290489,0.0,900.596411289,899.826779143,900.682824589,900.085282746
0.6600000000000003,-0.00966058528956,-0.0516396267124,17.5516911535,6.23120624842,6.25250946788,0.0,0.0649849347996,-0.330820744163,20.4754015287,-0.170219515007,-0.158575796863,0.0,900.772016641,899.965199565,900.343134566,899.888597936
0.7200000000000003,-0.00415397334342,-0.07420572727,18.8125324705,6.22075953186,6.24258563232,0.0,0.120226600709,-0.422880382709,21.5330837707,-0.183313585581,-0.184708236803,0.0,901.089957111,900.021163204,900.492171122,899.949664645
0.7800000000000004,0.00500482304693,-0.102591716468,20.1329918833,6.20934729559,6.23109793537,0.0,0.18673852232,-0.524728674381,22.4642092019,-0.209806629176,-0.210474354009,0.0,900.977991553,899.919398621,900.977465797,899.889643916
0.8400000000000004,0.0184902457084,-0.137378369062,21.5057578789,6.19628157585,6.21822579413,0.0,0.264416946639,-0.636332533814,23.2783339915,-0.242589973564,-0.224216105463,0.0,900.4138273,899.837418711,901.112596732,899.764407464
0.9000000000000005,0.0369551043294,-0.179177005575,22.9241634644,6.18132778921,6.20478039332,0.0,0.352539246089,-0.758637741815,23.9872666967,-0.267750308376,-0.2238394709,0.0,900.072126015,900.0654536,900.754326304,899.707430069
0.9600000000000005,0.0609823740884,-0.228659109923,24.3822581067,6.1647704266,6.19133152851,0.0,0.449569196115,-0.892541644629,24.6029928678,-0.302210423891,-0.224770398664,0.0,899.967951324,899.908307425,900.930510372,899.499567474
1.0200000000000005,0.0910602102666,-0.286551679075,25.8748013501,6.14633076608,6.17797341431,0.0,0.554028948783,-1.03921148215,25.1371672398,-0.320240377819,-0.218681205767,0.0,899.774008268,899.999010771,900.653192956,899.879013403
1.0800000000000005,0.127597110552,-0.353657516817,27.3972406559,6.12684215055,6.16500770232,0.0,0.664680343515,-1.19972050253,25.6009816647,-0.335988103578,-0.211376341918,0.0,899.834883842,900.110495797,900.775380089,900.08820364
1.1400000000000006,0.170928129237,-0.430820171679,28.9456231375,6.10630669408,6.15229961462,0.0,0.780371795321,-1.37453314375,26.0032662904,-0.359268389536,-0.212664061879,0.0,900.111298756,900.039839483,900.91310574,899.914779621
1.2000000000000006,0.221336159634,-0.518923606523,30.516506547,6.08421217479,6.13984596548,0.0,0.900533394142,-1.56462656842,26.3522252552,-0.399783406604,-0.198939319587,0.0,899.705655071,900.242967353,901.335185354,899.628659795
1.2600000000000007,0.279078846078,-0.618948630938,32.1069440966,6.05976643587,6.12829468637,0.0,1.02477759264,-1.77236086242,26.6561290977,-0.430523872934,-0.182073132887,0.0,899.723820491,900.391171314,901.216923196,899.891273307
1.3200000000000007,0.344378604897,-0.73202665677,33.7143894319,6.0333964833,6.11801944288,0.0,1.15236236924,-2.00008444222,26.9200512982,-0.47100245886,-0.155516848369,0.0,899.334783525,900.398298246,901.288116375,899.553091932
